actual_price,model_price
8837,9349.5
17399,19204.9
11487,10761.2
550,333.826
23750,20218.5
18725,15753.9
999,1461.28
6495,4235.78
12970,12453
20499,19112.9
16400,13837.9
12885,12112.5
1495,-489.705
18650,18880.4
21980,18898.1
4495,5525.6
2995,6346.58
22000,16860.2
845,-1625.2
8100,7861.19
3595,4532.5
1850,3346.22
3490,4565.07
18500,13997.1
7980,8642.77
1995,2445.64
675,2597.61
1895,1592.04
5000,7283.13
1490,2830.52
3950,3883.59
13690,12521.4
650,-1010.33
1490,206.742
3395,4327.24
1444,-399.381
3450,4629.77
1400,1416.43
350,-1160.26
5250,4341.08
15500,17418.1
9499,9086.32
6995,7271.33
27995,26511.3
16530,17547.7
14990,19084.5
3295,2816.97
1190,2071.46
4450,6291.32
9900,9724.46
10490,9440.9
3590,6158.16
1995,1154.81
6794,6807.55
8922,8798.05
2790,5525.81
26995,22252.9
10990,11019.6
4750,4178.4
1500,3677.31
1495,1125.49
16750,20337.9
21498,19644.3
1295,-2522.8
5750,5414
1799,-983.371
2489,4053.12
8500,9181.05
4490,4393.27
2290,3411.89
3750,4426.56
9500,9419.37
27390,24930.6
5500,6462.27
3290,4666.02
3295,3814.41
1495,-489.923
15300,17274.3
3995,4007.18
19590,17560.7
14990,12605.2
1500,2875.32
1960,2280.68
8750,9849
1240,1192.51
15590,14088
12998,11505.6
4290,5884.6
19490,19290.6
1490,-217.795
8980,9665.3
2990,3054.18
5500,4472.32
4250,7740.19
990,-2965.33
3395,3186.87
11590,10550.8
12699,16545.6
16270,17577.1
2950,3854.18
9991,9919.89
15275,12741.6
3995,3265.34
1655,2484.65
5985,6788.12
12990,19176.1
9377,8776.05
9394,10046.8
4900,6272.84
5990,6614.2
5950,8651
1299,959.857
3210,3257.16
3190,1567.12
12000,11905.3
649,-1170.52
700,694.158
6240,6899.81
1690,1921.06
3485,6973.83
5295,5984.78
2675,4373.14
23990,22104.7
8395,10601.7
21490,19318.7
3296,3604.28
18140,19823.1
2699,3067.32
7995,8235.27
10995,9205.16
4500,3453.81
9994,9920.56
1495,1461.28
4795,5980.33
15495,13535.5
700,-4489.43
4795,6629.9
1999,1413.23
5500,5373.29
11395,10260.9
10000,9461.85
2994,3848.34
24990,22440.8
13250,12764.9
12990,11958.3
995,-885.298
15981,19091.3
3495,1779.75
1950,2128.73
1995,3519.31
19495,19910.2
1999,1378.11
1395,-498.964
9250,11015.9
17990,18394.4
5990,8401.63
1495,292.553
16398,19020.6
5490,5583.25
3880,4884.97
10790,16336
15988,19074.2
18991,17672.6
2250,2222.05
15300,17312.4
4990,5191.71
1495,2131.62
19600,18422.7
8795,9268.68
4490,7645.62
5300,8901.19
11940,10326.6
7995,8220.95
2290,2527.36
1695,2492.24
3795,7909.06
1790,-72.3385
26990,21935.9
9299,11515
3995,4726.5
2495,2527.36
11500,10471.6
5295,5981.61
15895,16873.8
4995,6329.97
1975,3053.27
3989,6881.39
8990,8668.98
3475,4124.61
18290,19872.5
1295,-633.347
10354,10629.1
6995,8448.83
795,-2360.91
18190,15352.4
9500,9307.96
5995,7486.27
2495,2270.73
2295,558.417
2995,1384.5
3996,4960.38
11455,10131.5
21298,20051.5
9490,8509.76
13500,16827.8
1395,546.914
1485,1408.43
7990,7088.35
3995,5853.38
650,995.65
12490,10654.7
5740,8135.66
13400,16892.3
16900,17082.4
8991,8985.07
14350,13649
995,-2674.3
9353,9115.44
5500,6101.15
9595,10286.6
9299,9812.68
7000,8218.47
3490,4067.82
550,-1096.03
5895,7199.58
2900,3653.39
5994,5711.43
5000,4511.32
990,436.379
19950,15437.8
1285,1464.49
17295,19848.2
3650,5626.59
19295,19847.4
8750,8969.87
18490,20336.3
2590,4265.91
4495,5060.81
17490,18603.3
1995,1167.38
7650,8075.16
2881,2147.42
4895,5721.96
2795,3593.93
800,46.1367
5500,7268.93
27490,25498
9250,9088.47
7750,9455.76
700,-3828.1
1495,1473.93
13699,15464.3
4195,4509.23
16468,14013
4495,5023.59
2995,5188.3
1600,2431.74
23989,22289.5
4750,7076.06
3850,3377.5
895,-1590.65
7790,7697.92
895,663.901
13799,18038.2
12000,11054.5
5490,9651
14645,18822.3
19690,19873.9
4000,5266.82
2700,2691.32
15340,16876.7
14990,13610.4
3650,6309.51
9295,9374.4
850,3650.52
2199,1737.76
4995,6900.46
1995,3304.06
2080,2569.72
14550,11801.4
5695,7772.54
3150,5946.05
1195,550.345
4249,5253.89
4250,4521.48
22995,19728.9
7495,9611.83
5000,6535.67
1099,1311.91
14900,12762.1
22990,19435.4
11299,12512.3
14290,12385.4
11494,11581.6
9900,9886.26
3296,3305.29
9233,10301.6
4650,5042.1
4495,6262.85
5760,5606.71
11990,11776.1
7895,8112.74
17490,19369.3
3990,5613.95
17750,17568.5
18995,20338.8
1975,2071.31
17000,19893.1
11499,11979.2
14999,17425.9
1500,1011.45
11000,9900.94
16490,19731
695,1258.39
7995,7878.57
995,3358.02
3990,4988.46
940,-573.454
1495,-691.226
