Runned_Miles,Price
44900,5300
78891,2500
104500,3349
31524,10600
123000,2650
29091,7690
41001,9675
147000,1190
103000,5295
29825,14350
194059,600
107000,2395
118000,2890
74615,5777
132448,1700
105000,2990
126000,1795
85624,4000
73268,6995
128000,1250
121518,1450
5000,23250
53000,8000
81000,2995
33000,18725
106747,12440
122000,4990
115000,1400
23806,11799
117000,750
109501,995
81777,4795
127567,2995
50,18991
83000,5490
91000,4799
193000,2050
152000,1995
130000,940
139756,1695
86000,2590
140000,1500
60000,11590
85400,2000
36000,8495
133978,4690
45663,11350
116000,1995
95000,2995
90000,3999
77000,2795
43199,8799
76708,9991
70633,6495
125226,999
38887,9499
148000,1500
149245,1099
5000,18499
136000,1750
94000,14990
25765,13500
122000,2295
59480,8700
58945,7350
150267,1490
2500,23750
89000,8690
190000,3995
17171,17000
130000,1000
166000,1095
126000,1695
15612,20398
64000,4795
97000,1000
76000,695
142000,3450
73000,4299
127000,3150
100960,3210
156000,1750
94000,3795
128860,2995
90000,3995
21340,12885
118000,3295
87000,4995
69900,8495
155000,3295
153000,1690
56881,11854
133697,1960
122744,600
4800,10790
10000,15490
50641,13100
62349,7995
134564,3600
14764,12499
68650,7495
90000,3950
25000,15495
2000,11350
52302,6995
82814,7991
46325,8922
108732,3750
87084,2750
103000,1990
140000,3395
36725,9200
39486,10395
103103,3300
66256,10000
53944,5490
120190,2475
5099,17990
8063,16780
62478,2495
200000,690
81000,5994
4500,21577
8412,20999
74000,5993
17035,12699
166000,2490
2537,26490
154000,1580
70000,5489
97140,2050
3009,20490
128000,1299
19201,14900
3073,21790
90000,6000
1100,20000
89000,4900
98578,2495
17671,11669
10,18299
153000,1250
69900,4500
118000,7290
74998,6495
9001,13500
24000,15490
49600,8490
105000,2195
110000,1990
71000,4395
75150,9760
125000,3850
7090,17250
165000,2500
92711,5250
74475,999
3389,15500
73060,3875
90000,2000
117,18990
42272,11490
198,26990
71000,6480
145860,4595
97733,5295
73180,6990
47000,8000
105656,3450
16373,14000
170000,770
9783,15799
72505,7995
121000,2470
120000,4495
134000,1995
95000,3500
94000,3950
143000,1695
128250,2750
24465,10000
76453,2995
3546,20980
41505,9394
158786,695
163000,1200
183,18490
95000,6395
75900,1899
54459,12795
170000,800
42000,7495
60134,8800
1472,16499
77500,2799
100000,3495
62400,7995
93000,6895
1000,23300
45739,9991
139000,1200
73379,8099
160000,350
3688,16630
2769,16270
97000,6850
78011,8500
195459,675
88639,7449
120000,1650
50305,10690
65000,4950
55000,7475
92000,4750
163000,500
92000,2995
39539,6299
108530,1400
119099,2995
160000,5750
70000,1150
21698,21898
55500,9100
42432,9490
16000,17995
96000,7490
81000,4695
52500,4995
38400,10995
4000,23990
118000,1200
72223,10695
104815,2290
52179,9585
133000,1695
177000,1995
21197,8994
13694,19998
73340,10990
7009,16600
122000,600
133000,1390
131000,5995
86190,4950
115145,600
54779,9875
59521,7650
9049,18991
121000,2675
9983,16398
96458,4000
33000,9200
8402,15999
508,16999
147000,1000
96000,5500
8922,15990
96000,5995
65952,10000
112000,3195
94000,5995
56283,7000
126200,1795
90995,4691
105000,1485
131039,1995
64052,12811
144000,1999
9005,22995
122250,2995
61400,3995
70780,7170
90000,7245
110000,3295
110000,2499
139000,3500
90000,9990
82000,995
125000,850
156000,3350
23947,12998
53400,4495
42000,14750
119000,895
91731,4950
105202,3500
155483,3995
111000,2995
76695,6780
17310,10960
160000,2995
30568,12500
93000,4290
62976,5600
124231,1000
1500,19495
122000,890
3760,16350
138250,895
72440,3295
98000,8450
71000,1795
100,27995
110767,5590
68000,7295
17160,10995
40000,7490
57136,7000
100000,4250
40804,9495
146000,1895
94048,1695
59648,8888
53982,14790
79030,9480
300,13990
18000,10990
66333,8290
163000,990
26827,11800
105000,3595
121000,1700
70400,4495
7246,16799
117000,800
223000,750
136976,1195
22023,10490
93000,4995
58357,8298
82000,3195
91912,4650
112990,2900
3689,17595
31866,11299
120000,2290
117233,3590
60000,6895
147000,1650
15415,14105
44142,13533
104000,2595
37393,11989
83020,9990
52732,9665
50788,8500
88213,1399
98521,11990
107000,2295
60000,2790
119625,3295
5857,17491
38962,7200
29932,10495
52100,8490
500,17990
105000,5250
67000,4195
78200,5585
2941,19490
65934,7599
2000,18999
39000,18500
102484,10973
177352,1490
155000,1495
96000,4600
11095,16446
159000,1485
63500,1100
75000,9990
18809,23250
39000,7750
79000,1485
99900,3190
117000,2599
33303,13498
35923,11025
12014,17500
83000,3199
121063,1999
141000,1490
37978,5650
54800,9999
1540,18290
47000,9500
57000,7895
107811,1300
108556,1950
68000,7000
104800,4995
139787,1399
55000,11250
71724,3791
44320,11791
103000,5500
114247,4790
60000,8750
56363,13480
96000,990
17550,11490
94160,7999
75000,2990
70662,7675
113300,3475
22957,13990
51358,8299
61411,7991
27433,14490
25,17790
101638,1750
66000,1790
91000,2595
61600,5995
8000,12998
136275,2290
73700,8285
37700,9750
60759,8611
26000,13299
130000,4900
45000,13477
120000,1000
68376,6999
82218,4720
89954,4990
61000,6690
21195,16290
81000,3450
76900,1950
92920,2495
105000,3994
41778,6999
68000,5600
216800,700
22577,13000
10000,12595
69946,5990
125000,1460
79100,4999
71700,7489
116449,1695
97000,6750
104500,3500
152000,595
161000,1495
77148,8395
88000,9000
126000,4990
118378,995
118116,1500
153000,1589
124000,2795
115000,2245
74000,990
72000,7450
72030,8275
37000,13984
126216,2999
17000,17495
42000,19950
62065,12995
101203,1690
87000,12995
31900,7995
23000,11250
34308,10674
57000,7550
215000,150
172000,1500
93717,3850
168569,995
115900,3995
8131,20290
144000,390
952,17000
56000,8490
48994,11790
83514,8200
91000,2999
43394,11385
10,18490
79990,5390
61217,7980
35700,22000
29945,9190
70052,7750
240000,1295
23838,15059
128000,3795
132700,4350
9000,22895
2768,26695
74593,9700
121000,1500
29500,10494
86000,2650
60000,6745
127345,3099
147881,1499
52071,10995
56801,8750
51752,9500
59000,5795
99896,4495
46289,6180
14624,11599
120000,1695
166000,2400
89000,3280
13439,11998
130000,700
27411,11790
160000,3450
79366,4590
32384,8795
30913,15990
85000,3989
68000,5993
110000,7495
3642,23489
130000,3990
185000,1995
106000,4490
30789,15495
72000,5250
165830,3000
19315,13990
110300,3295
89000,1898
58000,7495
7591,15500
93000,6895
84214,5500
132445,695
109000,3495
24436,12970
12011,15300
5107,16000
150000,1995
56000,10495
147000,649
98000,4995
59820,3190
31869,15555
37100,15275
95000,2290
83317,6850
38688,12277
51884,4000
116000,2000
175000,749
96851,4490
5058,15500
111200,3195
5882,15499
105809,3489
60000,8000
10,16300
64997,8490
88000,4290
42284,6995
226000,799
37741,14300
81565,3982
122400,3999
29518,7495
6974,15500
6153,18980
24244,11990
13144,15550
10127,16498
82000,1997
7215,17791
182000,450
97000,3990
3000,18999
143000,1999
129000,2995
5384,18440
63610,5895
42954,9000
7307,27990
73454,8336
33000,12750
103929,4796
31000,9495
103600,1900
27848,9500
65000,12971
71000,7295
107029,7990
140000,2300
59705,7500
11237,16538
89000,5490
194,18490
30165,9990
87000,1495
119000,1484
103000,5275
46492,9500
57137,10499
90000,3295
88288,7790
43649,10759
134000,990
92000,5000
4800,18490
999,18500
8500,28695
34245,8495
15100,19991
117980,8990
51640,7999
4184,19000
38719,12411
98078,4296
84000,3480
197900,1500
77593,8294
2000,17999
5000,17568
76000,6745
109677,3295
173500,950
55669,9703
169000,3150
65792,9990
88000,6495
131000,450
66000,1995
108000,1489
91000,2495
107000,4395
102000,1495
79973,7099
172000,1000
69246,6995
6267,15500
160000,1989
103000,795
66507,10999
58607,10550
99000,3750
161000,950
51141,7500
105279,2095
6252,23990
95000,4995
89000,999
92000,3995
112000,695
72252,6490
50000,8445
126500,2499
90000,2650
64000,5990
97924,5695
11205,10597
9813,10799
108000,1500
86000,3200
100000,7495
68395,2490
127000,650
65000,8750
121000,700
26650,9300
59000,12500
81000,9999
100,22995
66000,10490
147000,1495
80000,5495
98542,7991
51143,9299
88000,4995
78282,10488
37252,8795
38000,3495
51995,11995
77000,4495
109000,300
91131,1790
57630,4489
21042,11285
111000,6500
14978,18190
71300,4495
41294,9500
52000,4495
41000,7200
11488,14490
95000,5995
25886,10995
41020,10000
156480,4895
121194,995
125000,3990
148000,849
46539,7480
69956,5695
7316,15500
8500,25950
93187,4796
31117,8150
15708,15300
53426,9353
49635,11490
37000,6195
100000,7250
192500,4450
8098,15995
40572,9780
50000,10495
16011,19600
95000,7495
3607,16530
120900,1795
183500,2100
71000,4800
37225,12849
75078,6600
108000,1990
7298,15500
4755,18990
128000,2100
3198,17242
54895,10499
23000,15000
7140,17490
90214,4750
71872,5995
1785,16950
114111,2995
70000,12195
120000,9994
23000,10448
1009,18490
80000,4999
4621,14820
91000,4750
45000,10990
26381,8900
80918,4395
12422,15690
118274,1980
102443,2990
51516,7980
57041,9500
122495,5000
111000,3595
52000,8695
119000,499
39539,6769
15369,15990
35000,6991
40030,12000
121931,1000
69000,6250
60083,8355
8414,15981
25000,9490
150000,770
90000,5495
7555,20990
5000,18440
165045,665
10319,15000
7000,15895
99000,2475
66000,5750
15810,9799
100000,1275
75107,5980
86000,7666
168664,1295
43092,8995
116000,680
2500,21490
29356,12270
59170,7699
92541,4495
65000,4850
56650,7495
114000,3995
1000,22000
141650,3400
6363342,2395
132000,500
104995,1500
42713,8000
19296,21498
90000,3245
24000,12995
83742,5950
197000,1490
81000,6689
10850,17995
219550,1150
15,18990
165100,950
50684,9900
197000,1190
69000,4500
142890,3791
8308,16957
35131,13185
150000,1850
109000,3295
8000,20499
77500,999
75000,7995
37000,4249
76782,2375
107000,4000
88000,1000
104000,3750
107000,1950
32000,9995
149412,3250
47412,8290
21000,11494
3000,19999
3500,17995
75509,5995
24687,19990
939,18995
115000,2995
101000,995
149000,2950
129000,2495
42834,11690
58556,9500
14056,15545
110200,1400
66066,7285
44675,10270
95000,1995
141000,999
36595,9980
17157,12800
98000,6450
76000,2989
64900,12815
34627,8350
40000,5500
50116,8695
140000,2490
84000,2200
89967,2295
109709,3996
74218,11480
203000,1295
40465,12345
56913,8993
26225,12990
163689,3296
59000,8495
14474,14995
89755,4495
123000,4990
86000,6300
8588,15290
64981,5496
107762,4296
50,18950
102000,4495
131744,3489
66800,2999
13050,12749
16476,13500
2567,18855
142374,2100
50916,8500
72488,10585
22764,9500
90000,3795
69204,8666
4224,17199
1159,22490
34679,9595
84700,1990
94416,1995
64000,5695
163000,1495
24000,9000
61800,3995
110000,995
1229,18490
5916,19999
90250,6150
139586,4900
3277,17750
75000,5690
84000,2999
103000,14990
220716,1495
73139,5990
10,23790
10,18980
63000,12995
75000,8990
46043,9399
37580,8980
50,13000
73000,2150
76000,2900
105456,3300
134900,4495
746,18990
10,20990
123000,3790
65175,2989
82000,1198
47936,10290
75348,9000
183000,2994
148000,475
73300,3295
16381,11499
101567,7605
39725,10995
58000,5994
72000,9500
7000,29989
74062,6985
50109,14290
55000,6995
60000,11650
75000,1995
38863,8875
27694,11299
41530,4795
111510,5700
85000,9895
16002,13000
56848,8990
82187,5784
122036,3795
52379,6980
99390,3279
49220,9445
100000,3995
38000,8490
44000,2989
95000,1995
107060,4970
6650,19990
67282,9495
77000,3790
15216,14000
28393,12290
159338,2950
102000,6890
97000,5995
114000,999
2255,19295
57000,6595
96019,4980
52451,9480
50803,11890
70000,7690
5000,24999
117450,3650
56000,4700
53116,16468
35178,11775
121000,644
70000,4750
42500,6490
10350,26295
112000,1495
119374,2695
81000,5900
145000,925
136000,1390
117781,5950
62175,8295
71527,5980
117000,6988
53000,16994
116000,1690
154075,920
74573,5795
76445,8299
2557,18990
32886,10499
116665,3495
33029,10000
149865,1500
77000,5400
117364,1750
83041,4470
14954,9995
4274,16351
94000,995
80800,7995
154000,795
113595,2050
93000,5490
71806,6996
183000,395
5516,15500
70182,12000
85000,1490
66000,3795
12132,15650
61000,9989
127000,560
77800,3995
36000,8990
103000,5995
123000,799
87000,5900
67482,7990
59118,10500
5000,18355
145751,700
126000,1150
51714,9970
63012,7949
74000,800
500,17490
111000,3000
128000,675
73000,3295
109000,3395
38200,13400
110000,1895
53424,9250
41242,9500
92000,2290
141278,1290
1466,23989
68000,12500
133665,1494
34998,14480
4150,15980
38489,13990
43978,6490
83200,4850
102856,6995
92000,1989
105803,5495
61000,11500
5020,15500
56817,7185
31288,10490
13495,13499
99000,1495
1150,28995
124000,1495
33321,10700
9577,14990
36128,15990
2819,26490
70000,7500
128640,2189
